timestamp,gpu_temp_c,memory_temp_c
1763683470,64,N/A
1763683471,64,N/A
1763683472,64,N/A
1763683473,64,N/A
1763683474,64,N/A
1763683475,64,N/A
1763683476,65,N/A
1763683477,65,N/A
1763683478,65,N/A
1763683479,65,N/A
1763683480,65,N/A
1763683481,65,N/A
1763683482,65,N/A
1763683483,65,N/A
1763683484,65,N/A
1763683485,65,N/A
1763683486,65,N/A
1763683487,65,N/A
1763683488,65,N/A
1763683489,65,N/A
1763683490,65,N/A
1763683491,65,N/A
1763683492,65,N/A
1763683493,65,N/A
1763683494,65,N/A
1763683495,65,N/A
1763683497,65,N/A
1763683498,65,N/A
1763683499,65,N/A
1763683500,65,N/A
1763683501,65,N/A
1763683502,65,N/A
1763683503,66,N/A
1763683504,65,N/A
1763683505,66,N/A
1763683506,65,N/A
1763683507,65,N/A
1763683508,66,N/A
1763683509,66,N/A
1763683510,66,N/A
1763683511,66,N/A
1763683512,66,N/A
1763683513,66,N/A
1763683514,66,N/A
1763683515,66,N/A
1763683516,66,N/A
1763683517,66,N/A
1763683518,72,N/A
1763683519,73,N/A
1763683520,74,N/A
1763683521,74,N/A
1763683522,75,N/A
1763683523,75,N/A
1763683524,75,N/A
1763683525,75,N/A
1763683526,76,N/A
1763683527,77,N/A
1763683528,77,N/A
1763683529,77,N/A
1763683530,77,N/A
1763683531,77,N/A
1763683532,77,N/A
1763683533,78,N/A
1763683534,78,N/A
1763683536,78,N/A
1763683537,79,N/A
1763683538,79,N/A
1763683539,79,N/A
1763683540,79,N/A
1763683541,79,N/A
1763683542,79,N/A
1763683543,79,N/A
1763683544,80,N/A
1763683545,80,N/A
1763683546,80,N/A
1763683547,80,N/A
1763683548,80,N/A
1763683549,80,N/A
1763683550,80,N/A
1763683551,81,N/A
1763683552,81,N/A
1763683553,80,N/A
1763683554,80,N/A
1763683555,81,N/A
1763683556,81,N/A
1763683557,81,N/A
1763683558,81,N/A
1763683559,80,N/A
1763683560,80,N/A
1763683561,80,N/A
1763683562,81,N/A
1763683563,80,N/A
1763683564,81,N/A
1763683565,80,N/A
1763683566,80,N/A
1763683567,80,N/A
1763683568,80,N/A
1763683569,80,N/A
1763683570,80,N/A
1763683571,80,N/A
1763683573,80,N/A
1763683574,80,N/A
1763683575,80,N/A
1763683576,81,N/A
1763683577,81,N/A
1763683578,80,N/A
1763683579,80,N/A
1763683580,80,N/A
1763683581,80,N/A
1763683582,80,N/A
1763683583,79,N/A
1763683584,80,N/A
1763683585,80,N/A
1763683586,80,N/A
1763683587,80,N/A
1763683588,80,N/A
1763683589,80,N/A
1763683590,81,N/A
1763683591,80,N/A
1763683592,80,N/A
1763683593,80,N/A
1763683594,80,N/A
1763683595,80,N/A
1763683596,80,N/A
1763683597,81,N/A
1763683598,80,N/A
1763683599,80,N/A
1763683600,80,N/A
1763683601,80,N/A
1763683602,81,N/A
1763683603,81,N/A
1763683604,80,N/A
1763683605,80,N/A
1763683606,80,N/A
1763683607,81,N/A
1763683608,81,N/A
1763683609,81,N/A
1763683611,80,N/A
1763683612,80,N/A
1763683613,81,N/A
1763683614,81,N/A
1763683615,81,N/A
1763683616,81,N/A
1763683617,81,N/A
1763683618,80,N/A
1763683619,81,N/A
1763683620,81,N/A
1763683621,81,N/A
1763683622,81,N/A
1763683623,81,N/A
1763683624,80,N/A
1763683625,81,N/A
1763683626,81,N/A
1763683627,81,N/A
1763683628,81,N/A
1763683629,81,N/A
1763683630,81,N/A
1763683631,81,N/A
1763683632,81,N/A
1763683633,81,N/A
1763683634,81,N/A
1763683635,81,N/A
1763683636,81,N/A
1763683637,82,N/A
1763683638,81,N/A
1763683639,81,N/A
1763683640,81,N/A
1763683641,81,N/A
1763683642,82,N/A
1763683643,82,N/A
1763683644,81,N/A
1763683645,82,N/A
1763683646,81,N/A
1763683647,82,N/A
1763683648,82,N/A
1763683650,82,N/A
1763683651,82,N/A
1763683652,82,N/A
1763683653,82,N/A
1763683654,82,N/A
1763683655,82,N/A
1763683656,82,N/A
1763683657,82,N/A
1763683658,81,N/A
1763683659,82,N/A
1763683660,82,N/A
1763683661,82,N/A
1763683662,82,N/A
1763683663,81,N/A
1763683664,82,N/A
1763683665,82,N/A
1763683666,82,N/A
1763683667,82,N/A
1763683668,82,N/A
1763683669,82,N/A
1763683670,82,N/A
1763683671,82,N/A
1763683672,82,N/A
1763683673,82,N/A
1763683674,82,N/A
1763683675,82,N/A
1763683676,82,N/A
1763683677,82,N/A
1763683678,82,N/A
1763683679,82,N/A
1763683680,82,N/A
1763683681,82,N/A
1763683682,82,N/A
1763683683,82,N/A
1763683684,82,N/A
1763683685,82,N/A
1763683686,82,N/A
1763683687,82,N/A
1763683689,83,N/A
1763683690,82,N/A
1763683691,82,N/A
1763683692,82,N/A
1763683693,82,N/A
1763683694,83,N/A
1763683695,82,N/A
1763683696,83,N/A
1763683697,82,N/A
1763683698,82,N/A
1763683699,82,N/A
1763683700,82,N/A
1763683701,82,N/A
1763683702,83,N/A
1763683703,82,N/A
1763683704,82,N/A
1763683705,82,N/A
1763683706,82,N/A
1763683707,83,N/A
1763683708,83,N/A
1763683709,83,N/A
1763683710,82,N/A
1763683711,82,N/A
1763683712,82,N/A
1763683713,83,N/A
1763683714,83,N/A
1763683715,82,N/A
1763683716,82,N/A
1763683717,82,N/A
1763683718,82,N/A
1763683719,83,N/A
1763683720,82,N/A
1763683722,82,N/A
1763683723,82,N/A
1763683724,82,N/A
1763683725,83,N/A
1763683726,82,N/A
1763683727,82,N/A
1763683728,82,N/A
1763683729,82,N/A
1763683730,82,N/A
1763683731,83,N/A
1763683732,83,N/A
1763683733,82,N/A
1763683734,82,N/A
1763683735,82,N/A
1763683736,83,N/A
1763683737,82,N/A
1763683738,80,N/A
1763683739,80,N/A
1763683740,80,N/A
1763683741,79,N/A
1763683742,79,N/A
1763683743,79,N/A
1763683744,79,N/A
1763683745,79,N/A
1763683746,79,N/A
1763683747,78,N/A
1763683748,79,N/A
1763683749,78,N/A
1763683750,78,N/A
1763683751,78,N/A
1763683752,78,N/A
1763683753,78,N/A
1763683754,78,N/A
1763683755,77,N/A
1763683756,78,N/A
1763683757,77,N/A
1763683758,78,N/A
1763683760,77,N/A
1763683761,77,N/A
1763683762,77,N/A
1763683763,77,N/A
1763683764,77,N/A
1763683765,77,N/A
1763683766,77,N/A
1763683767,77,N/A
1763683768,77,N/A
1763683769,77,N/A
1763683770,77,N/A
1763683771,76,N/A
1763683772,76,N/A
1763683773,76,N/A
1763683774,76,N/A
1763683775,76,N/A
1763683776,76,N/A
1763683777,77,N/A
1763683778,76,N/A
1763683779,76,N/A
1763683780,76,N/A
1763683781,76,N/A
1763683782,76,N/A
1763683783,76,N/A
1763683784,76,N/A
1763683785,76,N/A
1763683786,76,N/A
1763683787,76,N/A
1763683788,76,N/A
1763683789,75,N/A
1763683790,76,N/A
1763683791,76,N/A
1763683792,76,N/A
1763683793,76,N/A
1763683794,76,N/A
1763683795,76,N/A
1763683796,75,N/A
1763683797,76,N/A
1763683798,75,N/A
1763683800,76,N/A
