timestamp,gpu_util_percent,memory_util_percent
1766415679,2,1
1766415680,2,1
1766415681,13,7
1766415682,13,7
1766415683,13,7
1766415684,4,2
1766415685,14,7
1766415686,13,7
1766415687,13,7
1766415688,13,7
1766415689,13,7
1766415690,13,7
1766415691,13,7
1766415692,13,7
1766415693,2,1
1766415694,4,3
1766415695,13,7
1766415696,13,7
1766415697,13,7
1766415698,13,7
1766415699,13,7
1766415700,13,7
1766415701,13,7
1766415702,13,7
1766415704,13,7
1766415705,13,7
1766415706,10,5
1766415707,9,4
1766415708,2,1
1766415709,0,0
1766415710,2,1
1766415711,9,4
1766415712,8,4
1766415713,9,4
1766415714,7,4
1766415716,8,4
1766415717,8,4
1766415718,7,4
1766415719,7,4
1766415720,7,4
1766415721,7,4
1766415722,7,4
1766415723,7,4
1766415724,9,5
1766415726,9,4
1766415727,9,5
1766415728,9,5
1766415729,7,3
1766415730,7,3
1766415731,7,4
1766415732,2,1
1766415733,2,1
1766415735,6,3
1766415736,8,4
1766415737,8,4
1766415738,7,4
1766415739,7,4
1766415740,3,2
1766415741,5,2
1766415742,4,2
1766415744,4,2
1766415745,4,2
1766415746,4,2
1766415747,5,3
1766415748,4,2
1766415749,4,2
1766415751,5,3
1766415752,6,3
1766415753,6,3
1766415754,4,2
1766415755,4,2
1766415756,7,4
1766415757,7,4
1766415759,7,4
1766415760,5,3
1766415761,7,4
1766415762,7,3
1766415763,7,3
1766415764,0,0
1766415766,2,1
1766415767,2,1
1766415768,4,3
1766415769,4,2
1766415770,5,2
1766415771,4,2
1766415773,6,3
1766415774,6,3
1766415775,5,2
1766415776,6,3
1766415777,4,2
1766415779,4,2
1766415780,4,2
1766415781,7,4
1766415782,5,2
1766415783,4,2
1766415784,6,3
1766415785,7,4
1766415787,4,2
1766415788,3,2
1766415789,4,2
1766415790,3,1
1766415791,3,2
1766415792,5,2
1766415794,7,3
1766415795,8,4
1766415796,5,3
1766415797,7,3
1766415798,7,4
1766415799,4,2
1766415801,4,2
1766415802,2,1
1766415803,2,1
1766415804,2,1
1766415805,0,0
1766415806,0,0
1766415808,0,0
1766415809,4,2
1766415810,3,2
1766415811,3,2
1766415813,3,1
1766415814,3,2
1766415815,3,2
1766415817,3,2
1766415818,3,1
1766415819,4,2
1766415820,4,2
1766415822,3,2
1766415823,3,2
1766415824,3,1
1766415825,3,1
1766415827,3,2
1766415828,3,2
1766415829,3,1
1766415831,3,2
1766415832,3,2
1766415833,3,2
1766415834,3,2
1766415836,4,2
1766415837,3,1
1766415838,3,2
1766415839,4,2
1766415841,3,2
1766415842,3,2
1766415843,3,2
1766415844,3,2
1766415846,3,2
1766415847,4,2
1766415848,3,2
1766415850,3,1
1766415851,3,1
1766415852,2,1
1766415853,2,1
1766415855,3,2
1766415856,3,1
1766415857,3,2
1766415858,3,2
1766415860,4,2
1766415861,0,0
1766415862,0,0
1766415863,2,1
1766415865,0,0
1766415866,0,0
1766415867,2,1
1766415869,3,2
1766415870,3,2
1766415871,3,2
1766415872,3,2
1766415874,3,2
1766415875,3,2
1766415876,3,2
1766415878,3,2
1766415879,2,1
1766415880,3,2
1766415881,3,2
1766415883,3,2
1766415884,2,1
1766415885,3,1
1766415886,3,1
1766415888,2,1
1766415889,3,2
1766415890,3,2
1766415891,4,2
1766415893,4,2
1766415894,3,2
1766415895,3,2
1766415897,4,2
1766415898,4,2
1766415899,3,2
1766415900,3,1
1766415902,4,2
1766415903,4,2
1766415904,4,2
1766415905,4,2
1766415907,3,1
1766415908,2,1
1766415909,2,1
1766415911,2,1
1766415912,2,1
1766415913,3,1
1766415915,2,1
1766415916,2,1
1766415917,2,1
1766415919,2,1
1766415920,2,1
1766415921,2,1
1766415923,2,1
1766415924,2,1
1766415925,0,0
1766415926,0,0
1766415928,0,0
1766415929,2,1
1766415930,0,0
1766415931,3,2
1766415933,3,2
1766415934,3,2
1766415935,3,2
1766415936,3,2
1766415938,5,2
1766415939,3,2
1766415940,4,2
1766415942,3,1
1766415943,3,1
1766415944,3,1
1766415945,3,2
1766415947,3,2
1766415948,3,2
1766415949,3,2
1766415950,3,2
1766415952,3,1
1766415953,3,2
1766415954,3,2
1766415955,3,2
1766415957,3,1
1766415958,3,1
1766415959,3,1
1766415961,4,2
1766415962,3,1
1766415963,3,1
1766415964,3,2
1766415966,3,1
1766415967,3,2
1766415968,4,2
1766415969,3,1
1766415971,3,2
1766415972,4,2
1766415973,4,2
1766415974,4,2
1766415976,4,2
1766415977,3,2
1766415978,3,2
1766415979,3,2
1766415981,3,2
1766415982,3,1
1766415983,3,1
1766415985,0,0
1766415986,0,0
1766415987,0,0
1766415988,0,0
1766415990,2,1
1766415991,0,0
1766415992,2,1
1766415994,3,1
1766415995,3,1
1766415996,3,1
1766415997,3,2
1766415999,3,2
1766416000,3,1
1766416001,3,1
1766416002,3,2
1766416004,3,1
1766416005,3,1
1766416006,3,1
1766416008,3,1
1766416009,3,2
1766416010,3,2
1766416011,3,2
1766416013,4,2
1766416014,2,1
1766416015,2,1
1766416017,2,1
1766416018,2,1
1766416019,3,1
1766416021,2,1
1766416022,2,1
1766416023,3,1
1766416025,2,1
1766416026,3,1
1766416027,3,2
1766416028,4,2
1766416030,5,3
1766416031,3,2
1766416032,3,2
1766416033,3,2
1766416035,2,1
1766416036,3,2
1766416037,3,2
1766416038,2,1
1766416040,2,1
1766416041,3,1
1766416042,3,2
1766416044,3,1
1766416045,3,2
1766416046,3,2
1766416047,3,2
1766416049,4,2
1766416050,2,1
1766416051,2,1
1766416052,0,0
1766416054,0,0
1766416055,2,1
1766416056,0,0
1766416057,0,0
1766416059,0,0
1766416060,2,1
1766416061,3,1
1766416062,3,2
1766416064,3,2
1766416065,3,2
1766416066,3,2
1766416068,3,2
1766416069,3,2
1766416070,3,2
1766416071,3,2
1766416073,3,1
1766416074,3,1
1766416075,4,2
1766416076,3,2
1766416078,3,2
1766416079,3,2
1766416080,3,2
1766416082,4,2
1766416083,3,2
1766416084,3,2
1766416085,3,2
1766416087,4,2
1766416088,3,2
1766416089,4,2
1766416090,5,2
1766416092,7,4
1766416093,7,4
1766416094,6,3
1766416095,7,4
1766416096,5,2
1766416097,7,3
1766416099,5,2
1766416100,7,3
1766416101,3,1
1766416102,2,1
1766416103,0,0
1766416104,0,0
1766416106,2,1
1766416107,5,2
1766416108,4,2
1766416109,4,2
1766416110,3,2
1766416111,3,2
1766416113,2,1
1766416114,3,1
1766416115,4,2
1766416117,3,2
1766416118,3,1
1766416119,3,2
1766416120,3,2
1766416122,3,2
1766416123,3,2
1766416124,3,2
1766416125,3,1
1766416127,3,2
1766416128,3,1
1766416129,3,2
1766416131,3,2
1766416132,3,1
1766416133,3,2
1766416134,3,2
1766416136,3,2
1766416137,3,2
1766416138,2,1
1766416139,3,2
1766416141,3,1
1766416142,3,2
1766416143,3,2
1766416145,3,2
1766416146,3,1
1766416147,3,1
1766416148,3,1
1766416150,3,2
1766416151,4,2
1766416152,4,2
1766416153,3,2
1766416155,3,2
1766416156,3,2
1766416157,3,1
1766416158,3,2
1766416160,0,0
1766416161,0,0
1766416162,0,0
1766416164,0,0
1766416165,0,0
1766416166,0,0
1766416167,3,1
1766416169,3,2
1766416170,2,1
1766416171,3,2
1766416172,3,2
1766416174,3,2
1766416175,3,2
1766416176,3,2
1766416177,3,2
1766416179,3,2
1766416180,3,2
1766416181,3,2
1766416182,3,2
1766416184,3,2
1766416185,5,3
1766416186,4,2
1766416187,4,2
1766416188,6,3
1766416190,6,3
1766416191,5,3
1766416192,3,2
1766416193,6,3
1766416194,6,3
1766416195,5,2
1766416197,7,3
1766416198,5,2
1766416199,7,4
1766416200,4,2
1766416201,6,3
1766416203,5,3
1766416204,7,4
1766416205,4,2
1766416206,0,0
1766416207,0,0
1766416209,0,0
1766416210,0,0
1766416211,0,0
1766416212,0,0
1766416214,2,1
1766416215,0,0
1766416216,0,0
1766416218,0,0
1766416220,0,0
1766416222,2,0
1766416225,2,0
1766416228,0,0
1766416230,0,0
1766416232,0,0
1766416233,3,1
1766416234,3,1
1766416236,3,2
1766416237,3,2
1766416238,3,2
1766416239,3,1
1766416241,3,1
1766416242,3,2
1766416243,3,2
1766416244,3,2
1766416246,3,1
1766416247,3,1
1766416248,3,2
1766416250,3,1
1766416251,3,1
1766416252,3,2
1766416253,2,1
1766416255,3,2
1766416256,3,1
1766416257,3,2
1766416258,3,1
1766416260,3,2
1766416261,4,2
1766416262,4,2
1766416264,3,2
1766416265,4,2
1766416266,3,2
1766416267,3,2
1766416268,3,1
1766416270,3,2
1766416271,3,2
1766416272,3,2
1766416273,3,2
1766416275,3,2
1766416276,3,1
1766416277,3,2
1766416278,3,1
1766416280,3,2
1766416281,3,1
1766416282,3,2
1766416284,3,2
1766416285,3,2
1766416286,3,2
1766416287,0,0
1766416289,0,0
1766416290,2,1
1766416291,0,0
1766416292,0,0
1766416294,0,0
1766416295,4,2
1766416296,5,3
1766416297,8,4
1766416298,6,3
1766416299,7,4
1766416301,7,4
1766416302,7,3
1766416303,4,2
1766416304,4,2
1766416306,4,2
1766416307,4,2
1766416308,3,2
1766416309,3,2
1766416311,3,2
1766416312,3,2
1766416313,3,1
1766416314,3,2
1766416316,3,2
1766416317,3,2
1766416318,4,2
1766416319,3,2
1766416321,3,2
1766416322,3,1
1766416323,3,2
1766416324,3,2
1766416326,3,2
1766416327,2,1
1766416328,3,1
1766416329,3,1
1766416331,6,3
1766416332,6,3
1766416333,3,2
1766416334,5,2
