timestamp,gpu_util_percent,memory_util_percent
1765689165,2,1
1765689166,2,1
1765689167,13,7
1765689168,13,7
1765689169,14,7
1765689170,14,7
1765689171,14,7
1765689172,14,7
1765689173,29,7
1765689174,29,7
1765689175,93,63
1765689176,95,62
1765689177,95,64
1765689178,95,68
1765689179,98,69
1765689180,95,69
1765689181,96,62
1765689182,100,67
1765689183,95,61
1765689184,95,66
1765689185,95,66
1765689186,95,62
1765689187,95,68
1765689188,95,62
1765689189,100,67
1765689190,95,61
1765689191,95,67
1765689192,95,62
1765689193,93,67
1765689194,93,67
1765689195,96,63
1765689196,95,67
1765689197,95,62
1765689198,100,68
1765689199,95,67
1765689200,95,63
1765689201,96,63
1765689203,100,66
1765689204,95,61
1765689205,95,67
1765689206,95,62
1765689207,95,68
1765689208,93,68
1765689209,93,67
1765689210,95,65
1765689211,96,63
1765689212,95,67
1765689213,95,63
1765689214,100,66
1765689215,95,61
1765689216,95,60
1765689217,96,64
1765689218,95,64
1765689219,95,62
1765689220,95,67
1765689221,95,62
1765689222,94,67
1765689223,93,66
1765689224,96,67
1765689225,95,62
1765689226,100,66
1765689227,95,59
1765689228,95,66
1765689229,95,64
1765689230,95,62
1765689231,95,67
1765689232,95,67
1765689233,95,62
1765689234,100,66
1765689235,93,67
1765689236,93,68
1765689237,95,62
1765689238,100,66
1765689239,99,64
1765689240,100,66
1765689241,95,61
1765689243,95,65
1765689244,95,62
1765689245,95,65
1765689246,95,66
1765689247,95,61
1765689248,95,61
1765689249,100,67
1765689250,94,67
1765689251,96,66
1765689252,94,62
1765689253,100,67
1765689254,96,60
1765689255,95,63
1765689256,95,60
1765689257,96,65
1765689258,96,65
1765689259,95,62
1765689260,96,67
1765689261,96,64
1765689262,95,62
1765689263,94,65
1765689264,94,66
1765689265,95,61
1765689266,96,65
1765689267,95,65
1765689268,95,62
1765689269,100,66
1765689270,100,65
1765689271,100,66
1765689272,96,61
1765689273,95,60
1765689274,95,65
1765689275,95,66
1765689276,95,61
1765689277,94,67
1765689278,95,59
1765689279,100,66
1765689280,95,60
1765689281,95,63
1765689283,96,66
1765689284,95,62
1765689285,96,63
1765689286,95,67
1765689287,95,67
1765689288,95,66
1765689289,95,62
1765689290,97,62
1765689291,93,67
1765689292,93,67
1765689293,95,66
1765689294,95,66
1765689295,94,66
1765689296,95,66
1765689297,94,62
1765689298,94,62
1765689299,97,64
1765689300,100,66
1765689301,96,62
1765689302,100,65
1765689303,100,64
1765689304,95,67
1765689305,94,65
1765689306,95,62
1765689307,100,65
1765689308,100,65
1765689309,98,65
1765689310,100,65
1765689311,98,62
1765689312,95,58
1765689313,96,65
1765689314,96,65
1765689315,95,62
1765689316,95,62
1765689317,95,61
1765689318,94,66
1765689319,100,67
1765689320,100,63
1765689322,100,63
1765689323,100,63
1765689324,100,64
1765689325,95,60
1765689326,95,60
1765689327,95,60
1765689328,95,62
1765689329,95,62
1765689330,95,62
1765689331,95,63
1765689332,96,67
1765689333,94,65
1765689334,94,66
1765689335,94,66
1765689336,94,66
1765689337,93,65
1765689338,93,65
1765689339,93,63
1765689340,96,62
1765689341,96,61
1765689342,95,61
1765689343,96,61
1765689344,95,60
1765689345,95,60
1765689346,95,60
1765689347,95,60
1765689348,95,64
1765689349,95,65
1765689350,95,65
1765689351,94,65
1765689352,94,67
1765689353,96,60
1765689354,95,60
1765689355,96,60
1765689356,96,65
1765689357,95,64
1765689358,96,61
1765689359,96,59
1765689361,95,60
1765689362,96,60
1765689363,96,60
1765689364,95,65
1765689365,95,64
1765689366,94,65
1765689367,98,66
1765689368,99,62
1765689369,100,63
1765689370,98,61
1765689371,99,62
1765689372,96,61
1765689373,97,61
1765689374,97,62
1765689375,99,64
1765689376,100,65
1765689377,100,65
1765689378,100,65
1765689379,96,67
1765689380,94,65
1765689381,95,58
1765689382,95,58
1765689383,95,57
1765689384,96,58
1765689385,99,61
1765689386,97,59
1765689387,99,64
1765689388,100,65
1765689389,100,65
1765689390,100,64
1765689391,100,64
1765689392,100,65
1765689393,94,66
1765689394,95,64
1765689395,95,59
1765689396,95,60
1765689397,95,61
1765689398,96,61
1765689399,95,62
1765689401,95,63
1765689402,96,64
1765689403,99,61
1765689404,98,60
1765689405,97,59
1765689406,96,58
1765689407,94,66
1765689408,94,63
1765689409,96,63
1765689410,95,63
1765689411,95,65
1765689412,94,64
1765689413,94,64
1765689414,95,64
1765689415,95,64
1765689416,95,64
1765689417,94,63
1765689418,100,63
1765689419,100,63
1765689420,93,65
1765689421,94,65
1765689422,95,65
1765689423,94,62
1765689424,95,59
1765689425,95,59
1765689426,95,61
1765689427,95,58
1765689428,95,59
1765689429,95,61
1765689430,95,61
1765689431,95,59
1765689432,94,57
1765689433,95,57
1765689434,94,65
1765689435,96,61
1765689436,95,62
1765689437,95,62
1765689438,95,62
1765689440,95,62
1765689441,95,62
1765689442,95,60
1765689443,95,61
1765689444,95,63
1765689445,95,63
1765689446,95,62
1765689447,95,61
1765689448,94,65
1765689449,94,65
1765689450,95,59
1765689451,95,60
1765689452,96,60
1765689453,96,60
1765689454,95,61
1765689455,95,63
1765689456,95,62
1765689457,95,63
1765689458,95,65
1765689459,96,65
1765689460,95,65
1765689461,94,67
1765689462,94,65
1765689463,95,60
1765689464,96,61
1765689465,95,65
1765689466,96,65
1765689467,95,65
1765689468,96,65
1765689469,95,65
1765689470,96,65
1765689471,96,65
1765689472,96,65
1765689473,95,60
1765689474,94,63
1765689475,94,67
1765689476,100,64
1765689477,100,64
1765689478,100,64
1765689480,100,64
1765689481,94,63
1765689482,95,64
1765689483,96,65
1765689484,95,64
1765689485,95,65
1765689486,96,65
1765689487,96,65
1765689488,96,65
1765689489,94,65
1765689490,94,63
1765689491,100,64
1765689492,100,64
1765689493,100,64
1765689494,100,64
1765689495,100,64
1765689496,100,63
1765689497,95,60
1765689498,95,60
1765689499,96,60
1765689500,95,60
1765689501,96,61
1765689502,94,65
1765689503,94,65
1765689504,95,57
1765689505,95,58
1765689506,95,58
1765689507,95,58
1765689508,96,58
1765689509,95,58
1765689510,95,58
1765689511,95,58
1765689512,100,63
1765689513,100,63
1765689514,100,64
1765689515,98,62
1765689516,95,67
1765689517,96,60
1765689519,95,60
1765689520,95,64
1765689521,95,64
1765689522,95,64
1765689523,95,64
1765689524,96,65
1765689525,95,58
1765689526,95,58
1765689527,95,58
1765689528,95,57
1765689529,95,58
1765689530,94,65
1765689531,94,65
1765689532,94,65
1765689533,94,66
1765689534,93,65
1765689535,93,66
1765689536,93,65
1765689537,95,64
1765689538,96,63
1765689539,95,64
1765689540,95,65
