timestamp,gpu_temp_c,memory_temp_c
1767102770,70,N/A
1767102771,69,N/A
1767102772,70,N/A
1767102773,70,N/A
1767102774,70,N/A
1767102775,70,N/A
1767102776,70,N/A
1767102777,70,N/A
1767102778,70,N/A
1767102779,69,N/A
1767102780,70,N/A
1767102781,71,N/A
1767102782,69,N/A
1767102783,70,N/A
1767102784,70,N/A
1767102785,69,N/A
1767102786,69,N/A
1767102787,70,N/A
1767102788,70,N/A
1767102789,70,N/A
1767102790,70,N/A
1767102791,70,N/A
1767102792,71,N/A
1767102793,71,N/A
1767102794,71,N/A
1767102795,70,N/A
1767102796,71,N/A
1767102797,71,N/A
1767102798,70,N/A
1767102800,71,N/A
1767102801,71,N/A
1767102802,70,N/A
1767102803,70,N/A
1767102804,70,N/A
1767102805,70,N/A
1767102806,71,N/A
1767102807,71,N/A
1767102808,71,N/A
1767102809,71,N/A
1767102810,71,N/A
1767102811,71,N/A
1767102812,71,N/A
1767102813,71,N/A
1767102814,71,N/A
1767102815,71,N/A
1767102816,71,N/A
1767102817,70,N/A
1767102818,71,N/A
1767102819,71,N/A
1767102820,71,N/A
1767102821,70,N/A
1767102822,71,N/A
1767102823,71,N/A
1767102824,70,N/A
1767102825,70,N/A
1767102826,70,N/A
1767102827,71,N/A
1767102828,71,N/A
1767102829,71,N/A
1767102830,71,N/A
1767102831,71,N/A
1767102832,71,N/A
1767102833,70,N/A
1767102835,71,N/A
1767102836,71,N/A
1767102837,71,N/A
1767102838,71,N/A
1767102839,71,N/A
1767102840,71,N/A
1767102841,72,N/A
1767102842,71,N/A
1767102843,70,N/A
1767102844,70,N/A
1767102845,71,N/A
1767102846,71,N/A
1767102847,71,N/A
1767102848,71,N/A
1767102849,72,N/A
1767102850,72,N/A
1767102851,72,N/A
1767102852,72,N/A
1767102853,72,N/A
1767102854,72,N/A
1767102855,72,N/A
1767102856,72,N/A
1767102857,72,N/A
1767102858,71,N/A
1767102859,71,N/A
1767102860,71,N/A
1767102861,72,N/A
1767102862,72,N/A
1767102863,72,N/A
1767102864,71,N/A
1767102865,72,N/A
1767102866,72,N/A
1767102867,72,N/A
1767102869,72,N/A
1767102870,72,N/A
1767102871,72,N/A
1767102872,71,N/A
1767102873,72,N/A
1767102874,72,N/A
1767102875,71,N/A
1767102876,71,N/A
1767102877,71,N/A
1767102878,71,N/A
1767102879,72,N/A
1767102880,72,N/A
1767102881,71,N/A
1767102882,71,N/A
1767102883,71,N/A
1767102884,71,N/A
1767102885,72,N/A
1767102886,72,N/A
1767102887,72,N/A
1767102888,72,N/A
1767102889,72,N/A
1767102890,72,N/A
1767102891,71,N/A
1767102892,72,N/A
1767102893,72,N/A
1767102894,72,N/A
1767102895,72,N/A
1767102896,72,N/A
1767102897,71,N/A
1767102898,72,N/A
1767102899,72,N/A
1767102900,72,N/A
1767102901,72,N/A
1767102902,72,N/A
1767102904,72,N/A
1767102905,72,N/A
1767102906,72,N/A
1767102907,71,N/A
1767102908,72,N/A
1767102909,72,N/A
1767102910,72,N/A
1767102911,72,N/A
1767102912,72,N/A
1767102913,71,N/A
1767102914,71,N/A
1767102915,72,N/A
1767102916,72,N/A
1767102917,72,N/A
1767102918,72,N/A
1767102919,72,N/A
1767102920,72,N/A
1767102921,72,N/A
1767102922,72,N/A
1767102923,72,N/A
1767102924,72,N/A
1767102925,72,N/A
1767102926,72,N/A
1767102927,72,N/A
1767102928,72,N/A
1767102929,72,N/A
1767102930,72,N/A
1767102931,72,N/A
1767102932,71,N/A
1767102933,71,N/A
1767102934,71,N/A
1767102935,71,N/A
1767102936,71,N/A
1767102937,72,N/A
1767102939,72,N/A
1767102940,71,N/A
1767102941,71,N/A
1767102942,72,N/A
1767102943,72,N/A
1767102944,72,N/A
1767102945,71,N/A
1767102946,72,N/A
1767102947,72,N/A
1767102948,72,N/A
1767102949,72,N/A
1767102950,72,N/A
1767102951,72,N/A
1767102952,72,N/A
1767102953,72,N/A
1767102954,72,N/A
1767102955,72,N/A
1767102956,72,N/A
1767102957,72,N/A
1767102958,72,N/A
1767102959,72,N/A
1767102960,72,N/A
1767102961,72,N/A
1767102962,72,N/A
1767102963,72,N/A
1767102964,72,N/A
1767102965,73,N/A
1767102966,73,N/A
1767102967,73,N/A
1767102968,72,N/A
1767102969,73,N/A
1767102970,73,N/A
1767102971,72,N/A
1767102973,72,N/A
1767102974,73,N/A
1767102975,73,N/A
1767102976,72,N/A
1767102977,71,N/A
1767102978,71,N/A
1767102979,72,N/A
1767102980,71,N/A
1767102981,71,N/A
1767102982,72,N/A
1767102983,72,N/A
1767102984,72,N/A
1767102985,73,N/A
1767102986,73,N/A
1767102987,73,N/A
1767102988,73,N/A
1767102989,73,N/A
1767102990,72,N/A
1767102991,73,N/A
1767102992,72,N/A
1767102993,72,N/A
1767102994,72,N/A
1767102995,72,N/A
1767102996,72,N/A
1767102997,72,N/A
1767102998,73,N/A
1767102999,73,N/A
1767103000,73,N/A
1767103001,72,N/A
1767103002,72,N/A
1767103003,72,N/A
1767103004,73,N/A
1767103005,73,N/A
1767103006,72,N/A
1767103008,73,N/A
1767103009,73,N/A
1767103010,73,N/A
1767103011,73,N/A
1767103012,73,N/A
1767103013,71,N/A
1767103014,72,N/A
1767103015,72,N/A
1767103016,72,N/A
1767103017,73,N/A
1767103018,73,N/A
1767103019,73,N/A
1767103020,73,N/A
1767103021,71,N/A
1767103022,71,N/A
1767103023,71,N/A
1767103024,72,N/A
1767103025,73,N/A
1767103026,72,N/A
1767103027,73,N/A
1767103028,73,N/A
1767103029,73,N/A
1767103030,73,N/A
1767103031,72,N/A
1767103032,73,N/A
1767103033,73,N/A
1767103034,73,N/A
1767103035,73,N/A
1767103036,73,N/A
1767103037,73,N/A
1767103038,73,N/A
1767103039,72,N/A
1767103040,72,N/A
1767103041,73,N/A
1767103043,73,N/A
1767103044,73,N/A
1767103045,73,N/A
1767103046,73,N/A
