timestamp,gpu_util_percent,memory_util_percent
1763644264,0,0
1763644266,0,0
1763644268,3,0
1763644269,51,24
1763644270,51,24
1763644271,51,25
1763644272,51,24
1763644273,51,24
1763644274,51,24
1763644275,51,24
1763644276,51,24
1763644277,51,25
1763644278,50,24
1763644280,51,25
1763644281,50,24
1763644282,49,23
1763644283,49,24
1763644284,49,23
1763644285,51,24
1763644286,51,24
1763644287,51,24
1763644288,51,24
1763644289,51,24
1763644290,51,24
1763644291,51,24
1763644292,52,25
1763644293,51,24
1763644294,51,25
1763644295,50,24
1763644296,51,24
1763644297,51,24
1763644298,52,24
1763644299,27,12
1763644300,52,24
1763644301,51,24
1763644302,52,24
1763644303,51,24
1763644304,51,24
1763644305,51,24
1763644306,51,24
1763644307,50,24
1763644308,50,23
1763644309,50,24
1763644310,51,24
1763644311,52,25
1763644312,50,24
1763644313,51,24
1763644314,52,25
1763644315,51,24
1763644316,51,24
1763644317,51,24
1763644318,51,24
1763644320,51,24
1763644321,51,24
1763644322,51,24
1763644323,51,24
1763644324,52,25
1763644325,52,24
1763644326,51,24
1763644327,52,24
1763644328,51,24
1763644329,45,16
1763644330,52,24
1763644331,51,24
1763644332,51,24
1763644333,51,24
1763644334,51,24
1763644335,51,24
1763644336,52,25
1763644337,52,25
1763644338,51,24
1763644339,51,24
1763644340,51,24
1763644341,52,25
1763644342,51,24
1763644343,52,25
1763644344,51,24
1763644345,51,24
1763644346,52,24
1763644347,51,24
1763644348,51,24
1763644349,52,25
1763644350,51,24
1763644351,52,25
1763644352,51,24
1763644353,51,24
1763644354,52,24
1763644355,51,24
1763644356,51,24
1763644357,51,24
1763644359,40,14
1763644360,51,24
1763644361,51,24
1763644362,52,25
1763644363,51,24
1763644364,51,24
1763644365,52,24
1763644366,50,23
1763644367,51,24
1763644368,51,23
1763644369,52,25
1763644370,51,24
1763644371,51,24
1763644372,51,24
1763644373,51,24
1763644374,50,24
1763644375,51,24
1763644376,51,24
1763644377,51,24
1763644378,51,24
1763644379,51,24
1763644380,51,24
1763644381,51,24
1763644382,52,25
1763644383,52,24
1763644384,51,24
1763644385,52,25
1763644386,51,24
1763644387,51,24
1763644388,30,15
1763644389,51,24
1763644390,52,24
1763644391,51,24
1763644392,51,24
1763644393,52,25
1763644394,51,24
1763644395,51,24
1763644396,52,25
1763644398,51,24
1763644399,51,24
1763644400,52,25
1763644401,51,24
1763644402,51,24
1763644403,52,25
1763644404,51,24
1763644405,52,25
1763644406,51,24
1763644407,51,24
1763644408,52,25
1763644409,51,24
1763644410,51,24
1763644411,51,24
1763644412,52,25
1763644413,51,24
1763644414,51,24
1763644415,51,24
1763644416,51,24
1763644417,51,24
1763644418,51,24
1763644419,52,24
1763644420,52,25
1763644421,51,24
1763644422,51,24
1763644423,52,24
1763644424,50,24
1763644425,52,25
1763644426,51,24
1763644427,51,24
1763644428,52,25
1763644429,52,24
1763644430,51,24
1763644431,52,25
1763644432,51,24
1763644433,51,24
1763644434,52,24
1763644435,51,24
1763644436,52,24
1763644438,51,24
1763644439,51,24
1763644440,51,24
1763644441,51,24
1763644442,51,24
1763644443,51,24
1763644444,51,24
1763644445,52,24
1763644446,50,24
1763644447,52,25
1763644448,51,24
1763644449,49,23
1763644450,51,24
1763644451,52,25
1763644452,51,24
1763644453,52,25
1763644454,51,24
1763644455,52,25
1763644456,51,24
1763644457,51,24
1763644458,51,24
1763644459,51,24
1763644460,51,24
1763644461,51,24
1763644462,51,24
1763644463,51,24
1763644464,51,24
1763644465,51,24
1763644466,51,24
1763644467,52,24
1763644468,51,24
1763644469,51,24
1763644470,52,24
1763644471,51,24
1763644472,51,24
1763644473,52,24
1763644474,52,25
1763644475,51,24
1763644477,51,24
1763644478,51,24
1763644479,42,14
1763644480,51,24
1763644481,51,24
1763644482,52,25
1763644483,51,24
1763644484,51,24
1763644485,51,24
1763644486,52,25
1763644487,51,24
1763644488,52,25
1763644489,51,24
1763644490,51,24
1763644491,52,25
1763644492,51,24
1763644493,51,24
1763644494,51,24
1763644495,51,24
1763644496,51,24
1763644497,51,24
1763644498,51,24
1763644499,51,24
1763644500,51,24
1763644501,50,23
1763644502,51,24
1763644503,51,24
1763644504,51,23
1763644505,51,24
1763644506,51,24
1763644507,51,24
1763644508,39,19
1763644509,51,24
1763644510,51,24
1763644511,50,24
1763644512,51,24
1763644513,51,24
1763644514,51,24
1763644515,51,24
1763644517,50,24
1763644518,50,23
1763644519,51,24
1763644520,51,23
1763644521,52,24
1763644522,51,24
1763644523,51,23
1763644524,51,24
1763644525,51,24
1763644526,51,24
1763644527,50,23
1763644528,50,24
1763644529,51,24
1763644530,51,24
1763644531,50,24
1763644532,51,24
1763644533,52,24
1763644534,51,24
1763644535,51,24
1763644536,51,24
1763644537,51,24
1763644538,51,24
1763644539,51,24
1763644540,52,25
1763644541,51,24
1763644542,50,24
1763644543,51,24
1763644544,50,23
1763644545,51,24
1763644546,51,24
1763644547,50,24
1763644548,50,24
1763644549,51,23
1763644550,50,24
1763644551,51,24
1763644552,51,23
1763644553,51,24
1763644554,51,24
1763644556,51,24
1763644557,51,24
1763644558,51,24
1763644559,50,23
1763644560,51,24
1763644561,52,24
1763644562,51,24
1763644563,51,24
1763644564,52,24
1763644565,51,24
1763644566,51,24
1763644567,51,24
1763644568,51,24
1763644569,46,16
1763644570,51,24
1763644571,52,24
1763644572,51,24
1763644573,51,24
1763644574,51,24
1763644575,52,25
1763644576,51,24
1763644577,51,24
1763644578,51,24
1763644579,52,24
1763644580,52,25
1763644581,51,24
1763644582,51,24
1763644583,52,25
1763644584,52,25
1763644585,52,24
1763644586,51,24
1763644587,51,24
1763644588,52,24
1763644589,51,24
1763644590,51,24
1763644591,51,24
1763644592,52,25
1763644593,52,25
1763644594,52,25
1763644596,52,25
1763644597,52,24
1763644598,51,24
1763644599,44,15
1763644600,51,24
1763644601,51,24
1763644602,51,24
1763644603,51,24
1763644604,51,24
1763644605,51,24
1763644606,51,24
1763644607,51,24
1763644608,52,25
1763644609,51,24
1763644610,52,25
1763644611,50,24
1763644612,52,24
1763644613,51,24
1763644614,51,24
1763644615,52,24
1763644616,51,24
1763644617,51,24
1763644618,51,24
1763644619,52,24
1763644620,51,24
1763644621,51,24
1763644622,51,24
1763644623,52,25
1763644624,51,24
1763644625,50,24
1763644626,50,24
1763644627,50,24
1763644628,48,23
1763644629,50,23
1763644630,51,23
1763644631,52,24
1763644632,51,24
1763644633,51,24
1763644635,51,24
1763644636,51,24
1763644637,51,24
1763644638,51,24
1763644639,52,25
1763644640,50,24
1763644641,52,25
1763644642,51,24
1763644643,52,24
1763644644,51,24
1763644645,52,25
1763644646,51,24
1763644647,51,24
1763644648,52,25
1763644649,50,23
1763644650,52,24
1763644651,51,24
1763644652,52,25
1763644653,52,25
1763644654,52,24
1763644655,51,24
1763644656,51,24
1763644657,51,24
1763644658,51,24
1763644659,35,15
1763644660,51,23
1763644661,51,24
1763644662,52,24
1763644663,50,24
1763644664,51,23
1763644665,52,24
1763644666,51,24
1763644667,51,24
1763644668,51,23
1763644669,51,24
1763644670,51,24
1763644671,51,24
1763644672,51,24
1763644673,51,24
1763644675,51,24
1763644676,50,24
1763644677,50,23
1763644678,52,25
1763644679,50,24
1763644680,51,24
1763644681,51,24
1763644682,50,24
1763644683,51,24
1763644684,51,23
1763644685,51,24
1763644686,51,24
1763644687,51,24
1763644688,52,25
1763644689,47,16
