timestamp,gpu_temp_c,memory_temp_c
1763718291,61,N/A
1763718292,61,N/A
1763718293,61,N/A
1763718294,61,N/A
1763718295,61,N/A
1763718296,61,N/A
1763718297,63,N/A
1763718298,64,N/A
1763718299,68,N/A
1763718300,70,N/A
1763718301,71,N/A
1763718302,71,N/A
1763718303,73,N/A
1763718304,73,N/A
1763718305,73,N/A
1763718306,74,N/A
1763718307,74,N/A
1763718308,75,N/A
1763718309,75,N/A
1763718310,76,N/A
1763718311,76,N/A
1763718312,76,N/A
1763718313,77,N/A
1763718314,76,N/A
1763718316,77,N/A
1763718317,77,N/A
1763718318,77,N/A
1763718319,77,N/A
1763718320,78,N/A
1763718321,78,N/A
1763718322,78,N/A
1763718323,78,N/A
1763718324,79,N/A
1763718325,78,N/A
1763718326,78,N/A
1763718327,79,N/A
1763718328,79,N/A
1763718329,79,N/A
1763718330,80,N/A
1763718331,79,N/A
1763718332,80,N/A
1763718333,79,N/A
1763718334,80,N/A
1763718335,80,N/A
1763718336,80,N/A
1763718337,78,N/A
1763718338,80,N/A
1763718339,81,N/A
1763718340,81,N/A
1763718341,81,N/A
1763718342,81,N/A
1763718343,80,N/A
1763718344,81,N/A
1763718345,80,N/A
1763718346,81,N/A
1763718347,81,N/A
1763718348,81,N/A
1763718349,81,N/A
1763718350,82,N/A
1763718351,81,N/A
1763718352,82,N/A
1763718354,82,N/A
1763718355,82,N/A
1763718356,82,N/A
1763718357,83,N/A
1763718358,83,N/A
1763718359,83,N/A
1763718360,82,N/A
1763718361,82,N/A
1763718362,83,N/A
1763718363,82,N/A
1763718364,82,N/A
1763718365,81,N/A
1763718366,82,N/A
1763718367,82,N/A
1763718368,82,N/A
1763718369,82,N/A
1763718370,82,N/A
1763718371,82,N/A
1763718372,82,N/A
1763718373,82,N/A
1763718374,82,N/A
1763718375,79,N/A
1763718376,82,N/A
1763718377,82,N/A
1763718378,82,N/A
1763718379,82,N/A
1763718380,82,N/A
1763718381,82,N/A
1763718382,82,N/A
1763718383,82,N/A
1763718384,82,N/A
1763718385,82,N/A
1763718386,81,N/A
1763718387,82,N/A
1763718388,81,N/A
1763718389,82,N/A
1763718391,81,N/A
1763718392,82,N/A
1763718393,81,N/A
1763718394,81,N/A
1763718395,81,N/A
1763718396,81,N/A
1763718397,82,N/A
1763718398,81,N/A
1763718399,81,N/A
1763718400,82,N/A
1763718401,81,N/A
1763718402,82,N/A
1763718403,82,N/A
1763718404,81,N/A
1763718405,81,N/A
1763718406,82,N/A
1763718407,81,N/A
1763718408,82,N/A
1763718409,79,N/A
1763718410,81,N/A
1763718411,82,N/A
1763718412,82,N/A
1763718413,82,N/A
1763718414,82,N/A
1763718415,82,N/A
1763718416,82,N/A
1763718417,82,N/A
1763718418,82,N/A
1763718419,82,N/A
1763718420,82,N/A
1763718421,82,N/A
1763718422,82,N/A
1763718423,81,N/A
1763718424,82,N/A
1763718426,82,N/A
1763718427,81,N/A
1763718428,82,N/A
1763718429,81,N/A
1763718430,82,N/A
1763718431,82,N/A
1763718432,82,N/A
1763718433,81,N/A
1763718434,82,N/A
1763718435,81,N/A
1763718436,82,N/A
1763718437,81,N/A
1763718438,82,N/A
1763718439,82,N/A
1763718440,82,N/A
1763718441,82,N/A
1763718442,82,N/A
1763718443,82,N/A
1763718444,82,N/A
1763718445,82,N/A
1763718446,82,N/A
1763718447,81,N/A
1763718448,82,N/A
1763718449,82,N/A
1763718450,82,N/A
1763718451,81,N/A
1763718452,82,N/A
1763718453,81,N/A
1763718454,82,N/A
1763718455,82,N/A
1763718456,82,N/A
1763718457,82,N/A
1763718458,82,N/A
1763718459,81,N/A
1763718460,82,N/A
1763718461,82,N/A
1763718462,81,N/A
1763718464,82,N/A
1763718465,82,N/A
1763718466,82,N/A
1763718467,82,N/A
1763718468,83,N/A
1763718469,81,N/A
1763718470,83,N/A
1763718471,82,N/A
1763718472,82,N/A
1763718473,82,N/A
1763718474,82,N/A
1763718475,82,N/A
1763718476,81,N/A
1763718477,82,N/A
1763718478,82,N/A
1763718479,82,N/A
1763718480,83,N/A
1763718481,82,N/A
1763718482,83,N/A
1763718483,82,N/A
1763718484,83,N/A
1763718485,82,N/A
1763718486,82,N/A
1763718487,82,N/A
1763718488,82,N/A
1763718489,82,N/A
1763718490,82,N/A
1763718491,83,N/A
1763718492,82,N/A
1763718493,83,N/A
1763718494,81,N/A
1763718495,82,N/A
1763718496,82,N/A
1763718497,83,N/A
1763718498,83,N/A
1763718499,83,N/A
1763718500,82,N/A
1763718502,81,N/A
1763718503,83,N/A
1763718504,82,N/A
1763718505,82,N/A
1763718506,82,N/A
1763718507,82,N/A
1763718508,82,N/A
1763718509,82,N/A
1763718510,83,N/A
1763718511,83,N/A
1763718512,83,N/A
1763718513,83,N/A
1763718514,83,N/A
1763718515,82,N/A
1763718516,83,N/A
1763718517,82,N/A
1763718518,83,N/A
1763718519,83,N/A
1763718520,82,N/A
1763718521,82,N/A
1763718522,83,N/A
1763718523,83,N/A
1763718524,82,N/A
1763718525,83,N/A
1763718526,83,N/A
1763718527,83,N/A
1763718528,82,N/A
1763718529,82,N/A
1763718530,83,N/A
1763718531,83,N/A
1763718532,83,N/A
1763718533,82,N/A
1763718534,82,N/A
1763718535,82,N/A
1763718536,82,N/A
1763718537,83,N/A
1763718538,82,N/A
1763718539,82,N/A
1763718541,83,N/A
1763718542,83,N/A
1763718543,83,N/A
1763718544,82,N/A
1763718545,83,N/A
1763718546,83,N/A
1763718547,83,N/A
1763718548,81,N/A
1763718549,83,N/A
1763718550,82,N/A
1763718551,82,N/A
1763718552,82,N/A
1763718553,83,N/A
1763718554,82,N/A
1763718555,82,N/A
1763718556,81,N/A
1763718557,82,N/A
1763718558,82,N/A
1763718559,83,N/A
1763718560,82,N/A
1763718561,82,N/A
1763718562,82,N/A
1763718563,83,N/A
1763718564,83,N/A
1763718565,83,N/A
1763718566,83,N/A
1763718567,83,N/A
1763718568,81,N/A
1763718569,82,N/A
1763718570,83,N/A
